PROPER NOUNS IN GRIFFITH RIGVEDA TRANSLATION
================================================================================

Total unique proper nouns (>= 5 occurrences): 921

618. Loving               (   8 occurrences)
619. Associate            (   8 occurrences)
620. Highest              (   8 occurrences)
621. Another              (   8 occurrences)
622. Mana                 (   8 occurrences)
623. Bear                 (   8 occurrences)
624. Around               (   8 occurrences)
625. Prthivi              (   8 occurrences)
626. Kusikas              (   8 occurrences)
627. IN                   (   8 occurrences)
628. FORTH                (   8 occurrences)
629. Consort              (   8 occurrences)
630. Deity                (   8 occurrences)
631. Folk                 (   8 occurrences)
632. Atris                (   8 occurrences)
633. Potent               (   8 occurrences)
634. Riches               (   8 occurrences)
635. Wood                 (   7 occurrences)
636. Mares                (   7 occurrences)
637. Imperial             (   7 occurrences)
638. Brilliant            (   7 occurrences)
639. Race                 (   7 occurrences)
640. Asvin                (   7 occurrences)
641. Tree                 (   7 occurrences)
642. Bound                (   7 occurrences)
643. Kinsman              (   7 occurrences)
644. Glory                (   7 occurrences)
645. Pururavas            (   7 occurrences)
646. Providence           (   7 occurrences)
647. Mid                  (   7 occurrences)
648. Medhyatithi          (   7 occurrences)
649. Arbuda               (   7 occurrences)
650. LII                  (   7 occurrences)
651. Beside               (   7 occurrences)
652. Hast                 (   7 occurrences)
653. Bharadvajas          (   7 occurrences)
654. Thoughts             (   7 occurrences)
655. LXIII                (   7 occurrences)
656. Faithful             (   7 occurrences)
657. Puru                 (   7 occurrences)
658. LXV                  (   7 occurrences)
659. LXVI                 (   7 occurrences)
660. LXVIII               (   7 occurrences)
661. LXIX                 (   7 occurrences)
662. LXX                  (   7 occurrences)
663. LXXI                 (   7 occurrences)
664. LXXIII               (   7 occurrences)
665. Hitherward           (   7 occurrences)
666. LXXV                 (   7 occurrences)
667. Cleanser             (   7 occurrences)
668. Shining              (   7 occurrences)
669. Vandana              (   7 occurrences)
670. Dark                 (   7 occurrences)
671. Pedu                 (   7 occurrences)
672. Pajra                (   7 occurrences)
673. Bolt                 (   7 occurrences)
674. Blameless            (   7 occurrences)
675. Near                 (   7 occurrences)
676. Whence               (   7 occurrences)
677. Calf                 (   7 occurrences)
678. Gayatri              (   7 occurrences)
679. Brave                (   7 occurrences)
680. Rodasi               (   7 occurrences)
681. Controller           (   7 occurrences)
682. Stallions            (   7 occurrences)
683. Sacrifice            (   7 occurrences)
684. Graciously           (   7 occurrences)
685. Hail                 (   7 occurrences)
686. Decked               (   7 occurrences)
687. Offer                (   7 occurrences)
688. Vasat                (   7 occurrences)
689. HERE                 (   7 occurrences)
690. Ensign               (   7 occurrences)
691. Bharatas             (   7 occurrences)
692. Made                 (   7 occurrences)
693. Pleased              (   7 occurrences)
694. XLVII                (   7 occurrences)
695. Fivefold             (   7 occurrences)
696. Everlasting          (   7 occurrences)
697. THY                  (   7 occurrences)
698. Further              (   7 occurrences)
699. Alone                (   7 occurrences)
700. Daughters            (   7 occurrences)
701. Eye                  (   7 occurrences)
702. Aramati              (   7 occurrences)
703. Syavasva             (   7 occurrences)
704. Convey               (   7 occurrences)
705. Sura                 (   7 occurrences)
706. Closely              (   7 occurrences)
707. Trtsus               (   7 occurrences)
708. Herbs                (   7 occurrences)
709. Yatudhana            (   7 occurrences)
710. Priyamedhas          (   7 occurrences)
711. Suns                 (   7 occurrences)
712. Gladdener            (   7 occurrences)
713. Visvakarman          (   7 occurrences)
714. Ours                 (   6 occurrences)
715. Invoke               (   6 occurrences)
716. Svaha                (   6 occurrences)
717. Haste                (   6 occurrences)
718. Dhisana              (   6 occurrences)
719. Forward              (   6 occurrences)
720. Along                (   6 occurrences)
721. SOMA                 (   6 occurrences)
722. Seer                 (   6 occurrences)
723. Splendour            (   6 occurrences)
724. Seat                 (   6 occurrences)
725. Turviti              (   6 occurrences)
726. Tear                 (   6 occurrences)
727. Praskanva            (   6 occurrences)
728. Priyamedha           (   6 occurrences)
729. Bestowing            (   6 occurrences)
730. Looking              (   6 occurrences)
731. Aryas                (   6 occurrences)
732. Vayya                (   6 occurrences)
733. World                (   6 occurrences)
734. Lay                  (   6 occurrences)
735. LXIV                 (   6 occurrences)
736. LXVII                (   6 occurrences)
737. Gracious             (   6 occurrences)
738. LXXII                (   6 occurrences)
739. Truthful             (   6 occurrences)
